ID,ORIGIN,Company,Address1,Address2,Address3,Address4,Postcode,Area,Type,Regdate,RegFree, AnnualSubScription 
1,TRADER,Justerini & Brooks Ltd.,61 St James Street,London,,,SW1A 1LZ,London,Wholesaler,20/10/2022 16:07,10.00, 2.00 
2,TRADER,Bramley Ferry Supplies Ltd.,Whitewall Road,Medway City Estate,Rochester,Kent,ME2 4EW,Home Counties,Wholesaler,19/10/2022 16:07,20.00, 4.00 
3,TRADER,Vinifera Wines,Church Gate House,Old Heathfield,East Sussex,,TN21 9AG,Home Counties,Wholesaler,18/10/2022 16:07,30.00, 6.00 
4,TRADER,Tanners Wines Ltd,Wine & Spirit Merchants,36 High Street,Bridgnorth,,WV16 4DB,Birmingham,Regional Specialist Retailer,17/10/2022 16:07,40.00, 8.00 
5,TRADER,Vinoceros,24 Grange Close,Godalming,Surrey,,GU7 1XT,Home Counties,Wholesaler,16/10/2022 16:07,50.00, 10.00 
6,TRADER,,6 Park Crescent,Worthing,,,BN11 4AH,South Coast,Other,15/10/2022 16:07,60.00, 12.00 
7,TRADER,Southward Wines,Farm Lane,Aldbourne,Marlborough,,SN8 2DS,South West inc Bristol,Wholesaler,14/10/2022 16:07,70.00, 14.00 
8,TRADER,Southward Wines,Farm Lane,Aldbourne,Marlborough,,SN8 2DS,South West inc Bristol,Wholesaler,13/10/2022 16:07,80.00, 16.00 
9,TRADER,,13 Gordon Road,Chiswick,London,,W4 3LU,London,Other,12/10/2022 16:07,90.00, 18.00 
10,TRADER,Baker & Oven,10 Paddington Street,London,,,W1M 3LA,London,Restaurant/Hotel,11/10/2022 16:07,100.00, 20.00 
11,TRADER,Searsons Wine Merchants,6A Monkstow Cres,Black Rock County,Dublin,Ireland,,Ireland,Wholesaler,10/10/2022 16:07,110.00, 22.00 
12,TRADER,Audleys Wood Hotel,Alton Road,Basingstoke,Hants,,RG25 2JT,South Coast,Restaurant/Hotel,09/10/2022 16:07,120.00, 24.00 
13,TRADER,Davenport Wine Co,Upton Grey,Hampshire,,,RG25 2RA,Home Counties,Wholesaler,08/10/2022 16:07,130.00, 26.00 
14,TRADER,Georgian Hotel,High Street,Haslemere,Surrey,,GU27 2JY,Home Counties,Restaurant/Hotel,07/10/2022 16:07,140.00, 28.00 
15,TRADER,Hamilton Arms,School Lane,Stedham,Nr Midhurst,West Sussex,GU29 0NZ,South Coast,Restaurant/Hotel,06/10/2022 16:07,150.00, 30.00 
16,TRADER,Roundabout Hotel,Monkmead Lane,West Chiltington,Nr Pulborough,West Sussex,RH20 2F,South Coast,Restaurant/Hotel,05/10/2022 16:07,160.00, 32.00 
17,TRADER,Copthorne Hotel,Copthorne,West Sussex,,,RH10 3PG,South Coast,Restaurant/Hotel,04/10/2022 16:07,170.00, 34.00 
18,TRADER,Petersham Hotel,Nightingale Lane,Richmond,Surrey,,TW10 6UZ,Home Counties,Restaurant/Hotel,03/10/2022 16:07,180.00, 36.00 
19,TRADER,Rogers Wine Company,Rectory Cottage,10 Lower Street,Sprougton,Ipswich,IP8 3AA,East Anglia & East Midlands,Wholesaler,02/10/2022 16:07,190.00, 38.00 
20,TRADER,Sommelier Wine Company,23 St George's Espanade,St Peter Port,Guernsey,Channel Islands,GY1 2BG,Rest of Europe,Wholesaler,01/10/2022 16:07,200.00, 40.00 
21,TRADER,HBW Wines,168 Wroxham Road,Norwich,Norfolk,,NR7 8DE,East Anglia & East Midlands,Wholesaler,30/09/2022 16:07,210.00, 42.00 
22,TRADER,SH Jones & Co Ltd,27 High Street,Banbury,Oxfordshire,,OX16 5EW,Home Counties,Independent,29/09/2022 16:07,220.00, 44.00 
23,TRADER,WSET,Five Kings House,1 Queen Street Place,London,,EC4R 1QS,London,Educational,28/09/2022 16:07,230.00, 46.00 
24,TRADER,Bablake Wines Ltd,Bablake House,Corolin Road,Gloucester,,GL2 6DQ,South West inc Bristol,Wholesaler,27/09/2022 16:07,240.00, 48.00 
25,TRADER,Just in Case,Symes Corner,Herchin Street,Bishops Waltham,Southampton,SO32 1AN,South Coast,Independent retailer,26/09/2022 16:07,250.00, 50.00 
26,TRADER,Adnams Wine Merchants,The Crown,90 High Street,Southwold,Suffolk,IP18 6DP,East Anglia & East Midlands,Independent,25/09/2022 16:07,260.00, 52.00 
27,TRADER,Master Cellars,7 Aberdeen Road,Croydon,Surrey,,CRO 1EQ,Home Counties,Wholesaler,24/09/2022 16:07,270.00, 54.00 
28,TRADER,Havelock Wines Limited,Abington House,Harelack Street,Bedford,,MK40 4LU,Home Counties,Wholesaler,23/09/2022 16:07,280.00, 56.00 
29,TRADER,Peter Kunert Wines,34 Middleton Road,Sutton Coldfield,Birmingham,,B74 3EU,Birmingham,Wholesaler,22/09/2022 16:07,290.00, 58.00 
30,TRADER,Milton Sandford Wines Limited,The Old Chalk Mine,Warren Row Road,Knowl Hill,Reading,RG10 8QS,Home Counties,Wholesaler,21/09/2022 16:07,300.00, 60.00 
31,TRADER,JE Ridlington & Sons,Sibsey Lane,Boston,Lincolshire,,PE21 6HB,East Anglia & East Midlands,Wholesaler,20/09/2022 16:07,310.00, 62.00 
32,TRADER,Le Cochonnet,1 Lauderdale Parade,Maida Vale,London,,W9 1LU,London,Restaurant/Hotel,19/09/2022 16:07,320.00, 64.00 
33,TRADER,Bestway Cash & Carry Group Ltd,Abbey Road,Park Royal,London,,NW10 7BW,London,Wholesaler,18/09/2022 16:07,330.00, 66.00 
34,TRADER,Wine & Spirit Institute,1 Cairnburn Crescent,Belfast,,,BT4 2HU,Northern Ireland,Educational,17/09/2022 16:07,340.00, 68.00 
35,TRADER,St Davids Hotel & Spa,Havannah Street,Cardiff Bay,Cardiff,Wales,CF10 5SD,Wales,Restaurant/Hotel,16/09/2022 16:07,350.00, 70.00 
36,TRADER,The Noble Grape,21-27 Brandon Terrace,Edinburgh,,,EH3 5DZ,South Scotland inc Edinburgh,Wholesaler,15/09/2022 16:07,360.00, 72.00 
37,TRADER,Batleys plc,977 Leeds Road,Deighton,Huddersfield,West Yorkshire,HD2 1UP,Yorkshire,Wholesaler,14/09/2022 16:07,370.00, 74.00 
38,TRADER,Stazione,1051 Great Western Road,Glasgow,,,G12 0XP,South Scotland inc Edinburgh,Restaurant/Hotel,13/09/2022 16:07,380.00, 76.00 
39,TRADER,Chewton Glen Hotel,Christchurch Road,New Milton,Hampshire,,BH25 6QS,South Coast,Restaurant/Hotel,12/09/2022 16:07,390.00, 78.00 
40,TRADER,Brookfield Hotel & Hermitage Restaurant,Havant Road,Emsworth,Hants,,PO10 7LF,South Coast,Restaurant/Hotel,11/09/2022 16:07,400.00, 80.00 
41,TRADER,French Connection - Wine Merchants & Shippers,Star Trading Estate,Ponthir Road,Caerleon,Newport,,Wales,Wholesaler,10/09/2022 16:07,410.00, 82.00 
42,TRADER,Amberley Inn,Nr Stroud,Gloucestershire,,,,South West inc Bristol,Restaurant/Hotel,09/09/2022 16:07,420.00, 84.00 
43,TRADER,Royal Holloway and Bedford New College,Department of Georgraphy,University of London,Egham Hill,Egham,,Home Counties,Educational,08/09/2022 16:07,430.00, 86.00 
44,TRADER,Painswick Hotel,Kemps Lane,Painswick,Gloucestershire,,GL6 6YB,South West inc Bristol,Restaurant/Hotel,07/09/2022 16:07,440.00, 88.00 
45,TRADER,Stonehouse Court Hotel,Bristol Road,Stonehouse,Gloucestershire,,GL10 3RA,South West inc Bristol,Restaurant/Hotel,06/09/2022 16:07,450.00, 90.00 
46,TRADER,Tarnwell Wines,Stantondrew,Bristol,,,BS18 43D,South West inc Bristol,Independent retailer,05/09/2022 16:07,460.00, 92.00 
47,TRADER,South Lodge Hotel,Lower Beeding,Nr Horsham,West Sussex,,RH13 6PS,South Coast,Restaurant/Hotel,04/09/2022 16:07,470.00, 94.00 
48,TRADER,Pennyhill Park Hotel,College Ride,Bagshot,Surrey,,GU19 5ET,Home Counties,Restaurant/Hotel,03/09/2022 16:07,480.00, 96.00 
49,TRADER,Tides Reach Hotel,66/68 Galloway Lane,Pudsey,Leeds,,LS28 8LE,Yorkshire,Restaurant/Hotel,02/09/2022 16:07,490.00, 98.00 
50,TRADER,Muset,12-16 Clifton Road,Bristol,,,BS8 1AF,South West inc Bristol,Restaurant/Hotel,01/09/2022 16:07,500.00, 100.00 
51,TRADER,Muset,12-16 Clifton Road,Bristol,,,BS8 1AF,South West inc Bristol,Restaurant/Hotel,31/08/2022 16:07,510.00, 102.00 
52,TRADER,Raymond Reynolds Ltd,Station Road,Furness Vale,High Peak,Stockport,SK23 7SW,North West inc Manchester,Wholesaler,30/08/2022 16:07,520.00, 104.00 
53,TRADER,Dundas Arms,Kintbury,Berkshire,,,RG15 0UT,Home Counties,Restaurant/Hotel,29/08/2022 16:07,530.00, 106.00 
54,TRADER,JB Moran,4 St Oswalds Road,Redland,Bristol,,BS6 7HT,South West inc Bristol,Wholesaler,28/08/2022 16:07,540.00, 108.00 
55,TRADER,The Pheasants Hotel,24 Greenhill,Sherborne,Dorset,,DT9 4EW,South West inc Bristol,Restaurant/Hotel,27/08/2022 16:07,550.00, 110.00 
56,TRADER,Little Barwick House,Barwick,Nr Yeovil,Somerset,,,South West inc Bristol,Restaurant/Hotel,26/08/2022 16:07,560.00, 112.00 
57,TRADER,RGW Company,"Unit 4B, Northgate Business Centre",Fforestfach Industrial Estate.,Swansea,,SA5 4DL,Wales,Wholesaler,25/08/2022 16:07,570.00, 114.00 
58,TRADER,Hurston Farmhouse Hotel,Waterrow,Wiveliscombe,Somerset,,,South West inc Bristol,Restaurant/Hotel,24/08/2022 16:07,580.00, 116.00 
59,TRADER,Court of Master Sommeliers,222 Buckhust Way,Buckhurst Hill,Essex,,,Home Counties,Restaurant/Hotel,23/08/2022 16:07,590.00, 118.00 
60,TRADER,City of Bath College,Avon Street,Bath,,,BA1 1UP,South West inc Bristol,Educational,22/08/2022 16:07,600.00, 120.00 
61,TRADER,Pallant Wines,17 High Street,Arundel,West Sussex,,BN18 9AD,South Coast,Independent retailer,21/08/2022 16:07,610.00, 122.00 
62,TRADER,Western Super Mare College of Further Education,Knightstone Road,Weston Super Mare,Avon,,BS23 2AL,South West inc Bristol,Educational,20/08/2022 16:07,620.00, 124.00 
63,TRADER,Berkeley Square Hotel,15 Berkeley Square,Clifton,Bristol,,BS8 1HB,South West inc Bristol,Restaurant/Hotel,19/08/2022 16:07,630.00, 126.00 
64,TRADER,Booker Belmont Wholesale,Equity House,PO Box 9,Irthlingborough Road,Irthlingborough,NN8 1LT,Birmingham,Wholesaler,18/08/2022 16:07,640.00, 128.00 
65,TRADER,Landmark Cash & Carry Ltd,32/40 Headstone Drive,Harrow,Middlesex,,HA3 5QT,Home Counties,Wholesaler,17/08/2022 16:07,650.00, 130.00 
66,TRADER,52' North,Arcadian Centre,Hurst Street,Birmingham,,B5 4TD,Birmingham,Restaurant/Hotel,16/08/2022 16:07,660.00, 132.00 
67,TRADER,Slindon College,Division of Leisure & Hospitalities,North Star Avenue,Swindon,Wiltshire,SN2 1DY,South West inc Bristol,Educational,15/08/2022 16:07,670.00, 134.00 
68,TRADER,Italian Continental Stores Ltd,Jubilee House,Denmark Street,Maidenhead,Berkshire,SL6 7BL,Home Counties,Wholesaler,14/08/2022 16:07,680.00, 136.00 
69,TRADER,South & West Wales Wine & Spirit Association,9 Lon-Y-Barri,Energlyn,Caerphilly,Mid Glamorgan,,Wales,Educational,13/08/2022 16:07,690.00, 138.00 
70,TRADER,Old Dower House,Maiden Bradley,Nr Warminster,Wiltshire,,BA12 7HW,South West inc Bristol,Restaurant/Hotel,12/08/2022 16:07,700.00, 140.00 
71,TRADER,Chateaux Wines,Paddock House,Upper Tockington Road,Bristol,,BS12 4LQ,South West inc Bristol,Wholesaler,11/08/2022 16:07,710.00, 142.00 
72,TRADER,Gidleigh Park Hotel,Chagford,Devon,,,TQ13 8HH,South West inc Bristol,Key on Trade,10/08/2022 16:07,720.00, 144.00 
73,TRADER,Terra Vitae Vineyards Ltd,PO Box 57,,Cheltenham,,GL50 3ZP,South West inc Bristol,Wholesaler,09/08/2022 16:07,730.00, 146.00 
74,TRADER,Europa Foods Ltd,Europa House,Northolt Industial Estate,Rowdell Road,Northolt,UB5 5QR,London,Supermarkets,08/08/2022 16:07,740.00, 148.00 
75,TRADER,Oxford Guild of Sommeliers,9 Netherwoods Road,Risinghurst,Oxford,,OX3 8HF,Home Counties,Educational,07/08/2022 16:07,750.00, 150.00 
76,TRADER,Dartmouth Vintners Ltd,The Butterwalk,6 Duke Street,Dartmouth,South Devon,TQ6 9EB,South West inc Bristol,Wholesaler,06/08/2022 16:07,760.00, 152.00 
77,TRADER,Imperial Hotel,St Davids Hill,Exeter,Devon,,,South West inc Bristol,Restaurant/Hotel,05/08/2022 16:07,770.00, 154.00 
78,TRADER,Coed-y-Mwswr Hotel,Coychurch,Nr Bridgend,Mid Glamorgan,,CF35 6AF,Wales,Restaurant/Hotel,04/08/2022 16:07,780.00, 156.00 
79,TRADER,Hampers of Broadway,Cotswold Court,The Green,Broadway,Worcs,WR12 7AA,Birmingham,Independent retailer,03/08/2022 16:07,790.00, 158.00 
80,TRADER,Drake Manor Inn,Buckland Monachorum,Yelverton,Devon,,PL20 7NA,South West inc Bristol,Restaurant/Hotel,02/08/2022 16:07,800.00, 160.00 
81,TRADER,The Pig and Fish Restaurant,Norway Lane,St Ives,Cornwell,,TR26 1LZ,South West inc Bristol,Restaurant/Hotel,01/08/2022 16:07,810.00, 162.00 
82,TRADER,Bleddyn Hotel,Tredunnock,Nr Usk,Gwent,,NP5 1PG,Wales,Restaurant/Hotel,31/07/2022 16:07,820.00, 164.00 
83,TRADER,Fountain Inn,Trellech Grange,Nr Tintern,Chepstow,,NP16 6QW,Wales,Restaurant/Hotel,30/07/2022 16:07,830.00, 166.00 
84,TRADER,Royal George Hotel,Tintern,Chepstow,Gwent,,,Wales,Restaurant/Hotel,29/07/2022 16:07,840.00, 168.00 
85,TRADER,Peterstone Court Hotel,Llanhamlach,Brecon,Powys,,LD1 6LG,Wales,Restaurant/Hotel,28/07/2022 16:07,850.00, 170.00 
86,TRADER,Le Cassoulet,5 Romilly Crescent,Canton,Cardiff,,CF11 9NP,Wales,Restaurant/Hotel,27/07/2022 16:07,860.00, 172.00 
87,TRADER,Elm Tree Restaurant,Peterstone Wentloog,Newport,Gwent,,,Wales,Restaurant/Hotel,26/07/2022 16:07,870.00, 174.00 
88,TRADER,Bear Hotel,Crickhowell,Crickhowell,Powys,,NP8 1BW,Wales,Restaurant/Hotel,25/07/2022 16:07,880.00, 176.00 
89,TRADER,Quartet Food & Wine,23 Market Place,Henley-on-Thames,Oxfordshire,,RG9 2AA,Home Counties,Independent retailer,24/07/2022 16:07,890.00, 178.00 
90,TRADER,Everywine.co.uk,Ground Floor,17-18 Riversway Business Park Village,Navigation Way,Preston,PR2 2YP,North West inc Manchester,Wholesaler,23/07/2022 16:07,900.00, 180.00 
91,TRADER,Orles Barn Hotel,Wilton,Ross-on-Wye,Herefordshire,,HR,Birmingham,Restaurant/Hotel,22/07/2022 16:07,910.00, 182.00 
92,TRADER,Miskin Manor Hotel,Pendoylan Road,Groesfaen,Pontyclun,,CF72 8ND,Wales,Restaurant/Hotel,21/07/2022 16:07,920.00, 184.00 
93,TRADER,Black Horse Inn,Naunton,Gloucestershire,,,GL52 3AD,South West inc Bristol,Restaurant/Hotel,20/07/2022 16:07,930.00, 186.00 
94,TRADER,Mill House Hotel,Kingham,Oxfordshire,,,OX7 6UH,Home Counties,Restaurant/Hotel,19/07/2022 16:07,940.00, 188.00 
95,TRADER,Beechwood Restaurant,Royal Forest of Dean College,Five Acres Campus,Coleford,Gloucestershire,,South West inc Bristol,Restaurant/Hotel,18/07/2022 16:07,950.00, 190.00 
96,TRADER,Beechwood Restaurant,Royal Forest of Dean College,Five Acres Campus,Coleford,Gloucestershire,,South West inc Bristol,Restaurant/Hotel,17/07/2022 16:07,960.00, 192.00 
97,TRADER,Chase Hotel,Goucester Road,Ross on Wye,Herefordshire,,,Birmingham,Restaurant/Hotel,16/07/2022 16:07,970.00, 194.00 
98,TRADER,Kings Hotel,High Street,Newport,Gwent,,NP9 1QU,Wales,Restaurant/Hotel,15/07/2022 16:07,980.00, 196.00 
99,TRADER,Nags Head Inn,Twyn Square,Usk,Gwent,,,Wales,Restaurant/Hotel,14/07/2022 16:07,990.00, 198.00 
100,TRADER,Nags Head Inn,Twyn Square,Usk,Gwent,,,Wales,Restaurant/Hotel,13/07/2022 16:07,1000.00, 200.00 
101,TRADER,Queensberry Hotel,Russell Street,Bath,,,,South West inc Bristol,Restaurant/Hotel,12/07/2022 16:07,1010.00, 202.00 
102,TRADER,Forte Crest Hotel,Filtonroad,Hambrook,Bristol,,,South West inc Bristol,Restaurant/Hotel,11/07/2022 16:07,1020.00, 204.00 
103,TRADER,Grand Hotel,Broad Street,Bristol,,,,South West inc Bristol,Restaurant/Hotel,10/07/2022 16:07,1030.00, 206.00 
104,TRADER,Unicorn Hotel,Prince Street,Bristol,,,,South West inc Bristol,Restaurant/Hotel,09/07/2022 16:07,1040.00, 208.00 
105,TRADER,Bristol Moat House Hotel,Victoria Street,Bristol,,,,South West inc Bristol,Restaurant/Hotel,08/07/2022 16:07,1050.00, 210.00 
106,TRADER,Grants of St James's Wines,Whitchurch Lane,Whitchurch,Bristol,,BS14 0JZ,South West inc Bristol,Wholesaler,07/07/2022 16:07,1060.00, 212.00 
107,TRADER,Kensington Park Hotel,De Vere Gardens,London,,,W8 5AG,London,Restaurant/Hotel,06/07/2022 16:07,1070.00, 214.00 
108,TRADER,Langan's Brasserie,Stratton House,Stratton Street,London,,W1,London,Restaurant/Hotel,05/07/2022 16:07,1080.00, 216.00 
109,TRADER,The Langham Hilton,1c Portland Place,London,,,W1N 3AA,London,Restaurant/Hotel,04/07/2022 16:07,1090.00, 218.00 
110,TRADER,Launceston Place Restaurant,1A Launceston Place,London,,,W8 5RL,London,Restaurant/Hotel,03/07/2022 16:07,1100.00, 220.00 
111,TRADER,London Wine Bars Ltd,Ean House,12 Aurthor Street,London,,EC4R 9AB,London,Wine Bar,02/07/2022 16:07,1110.00, 222.00 
112,TRADER,Nisa-Today's,Park Farm Road,Foxhills Industrial Park,Scunthorpe,North Lincolnshire,DN15 8QP,East Anglia & East Midlands,Key Retail Buyer,01/07/2022 16:07,1120.00, 224.00 
113,TRADER,Salamis & Co Ltd,351a Caledonian Road,London,,,N1 1DW,London,Wholesaler,30/06/2022 16:07,1130.00, 226.00 
114,TRADER,Venus,Unit A,Brantwood Road,London,,N17 OYD,London,Wholesaler,29/06/2022 16:07,1140.00, 228.00 
115,TRADER,Wine Education Centre Ltd,19 Gloucester Road,Newbury,Berkshire,,RG14 5JP,Home Counties,Educational,28/06/2022 16:07,1150.00, 230.00 
116,TRADER,The Four Vintners,5-9 Kingsland Road,Shoreditch Church,London,,E2 8AA,London,Independent,27/06/2022 16:07,1160.00, 232.00 
117,TRADER,Martinez Fine Wines,36 The Grove,Ikley,West Yorkshire,,LS29 9EE,Yorkshire,Independent,26/06/2022 16:07,1170.00, 234.00 
118,TRADER,Ransome's Dock,35-37 Parkgate Road,Battersea,London,,SW11 4NP,London,Key on Trade,25/06/2022 16:07,1180.00, 236.00 
119,TRADER,The Lanesborough,Hyde Park Coner,London,,,SW1X 7TA,London,Key on Trade,24/06/2022 16:07,1190.00, 238.00 
120,TRADER,Cosbys Fine Wines,6 Creff Road,Perth,,,PH1 5AF,South Scotland inc Edinburgh,Independent retailer,23/06/2022 16:07,1200.00, 240.00 
121,TRADER,La Cuisine Qui Voyage,97 Parkside House,Bell Farm Avenue,Dagenham,Essex,RM10 7AY,Home Counties,Restaurant/Hotel,22/06/2022 16:07,1210.00, 242.00 
122,TRADER,RS Wines,32 Vicarage Road,Southville,Bristol,,BS3 1PD,South West inc Bristol,Independent retailer,21/06/2022 16:07,1220.00, 244.00 
123,TRADER,Royal Crescent Hotel,16 Royal Crescent,Bath,Somerset,,BA1 2LS,South West inc Bristol,Restaurant/Hotel,20/06/2022 16:07,1230.00, 246.00 
124,TRADER,Bath Spa Hotel,Sydney Road,Bath,Somerset,,BA2 6JF,South West inc Bristol,Restaurant/Hotel,19/06/2022 16:07,1240.00, 248.00 
125,TRADER,Thornbury Castle,Thornbury,Avon,,,BS12 1HH,South West inc Bristol,Restaurant/Hotel,18/06/2022 16:07,1250.00, 250.00 
126,TRADER,The Rose Tree Wines Ltd,15 Suffolk Parade,Cheltenham,Gloucestershire,,GL50 2AE,South West inc Bristol,Independent,17/06/2022 16:07,1260.00, 252.00 
127,TRADER,The Caesars Arms,Cardiff Road,Creigiau,Cardiff,,CF4 8NN,Wales,Restaurant/Hotel,16/06/2022 16:07,1270.00, 254.00 
128,TRADER,NN Creber Ltd,48 Brook Street,Tavistock,Devon,,PL19 0BH,South West inc Bristol,Independent retailer,15/06/2022 16:07,1280.00, 256.00 
129,TRADER,Casa Bodega Restaurant,9 Dunraen Place,Bridgend,Mid Glamorgan,,,Wales,Restaurant/Hotel,14/06/2022 16:07,1290.00, 258.00 
130,TRADER,Unwins Ltd,Birchwood House,Victoria Road,Dartford,Kent,DA1 5HJ,Home Counties,Key Retail Buyer,13/06/2022 16:07,1300.00, 260.00 
131,TRADER,Threshers Turnham,8-9 Bedford Corner,Turnham Green,London,,W4 1LD,London,Wholesaler,12/06/2022 16:07,1310.00, 262.00 
132,TRADER,ChaliÚ Richards & Co. Ltd,2 Grove House,Foundry Lane,West Sussex,,RH13 5PL,South Coast,Agent,11/06/2022 16:07,1320.00, 264.00 
133,TRADER,Grosvenor Wines,22B Belle Vue,Bude,Cornwall,,EX23 8JS,South West inc Bristol,Wholesaler,10/06/2022 16:07,1330.00, 266.00 
134,TRADER,Lys Hall Wines,The Anchorage,The Chalk,Chew Magna,Bristol,,South West inc Bristol,Independent retailer,09/06/2022 16:07,1340.00, 268.00 
135,TRADER,Irma Fingal Rock Food,64 Monnow Street,Monmouth,,,NP5 3EN,Wales,Independent,08/06/2022 16:07,1350.00, 270.00 
136,TRADER,Le Monde Restaurants Ltd,62 St Mary Street,Cardiff,Mid Glamorgan,,CF10 1FE,Wales,Restaurant/Hotel,07/06/2022 16:07,1360.00, 272.00 
137,TRADER,Le Chateau Wine Bar,32 Park Street,Bristol,Avon,,,South West inc Bristol,Wine Bar,06/06/2022 16:07,1370.00, 274.00 
138,TRADER,Mon Plaisir Restaurant,32-34 Hill Road,Clevedon,Avon,,,South West inc Bristol,Restaurant/Hotel,05/06/2022 16:07,1380.00, 276.00 
139,TRADER,Casa Martinez,61 St Mary Street,Cardiff,,,,Wales,Restaurant/Hotel,04/06/2022 16:07,1390.00, 278.00 
140,TRADER,Magnum Wines Ltd,22 Wood Street,Old Town,Swindon,Wiltshire,SN1 4AB,South West inc Bristol,Independent retailer,03/06/2022 16:07,1400.00, 280.00 
141,TRADER,St Austell Brewery Company,63 Trevarthian Road,St Austell,Cornwell,,PL25 4BY,South West inc Bristol,Independent,02/06/2022 16:07,1410.00, 282.00 
142,TRADER,Topsham Wines,36 High Street,Topsham,Exeter,Devon,EX3 0DU,South West inc Bristol,Independent retailer,01/06/2022 16:07,1420.00, 284.00 
143,TRADER,The Bridge House Hotel,Prout Bridge,Beaminster,Dorset,,DT8 3AY,South West inc Bristol,Restaurant/Hotel,31/05/2022 16:07,1430.00, 286.00 
144,TRADER,Moro,34 Exmouth Market,London,,,EC1R 4QE,London,Key on Trade,30/05/2022 16:07,1440.00, 288.00 
145,TRADER,WM Stedman Ltd (Celtic Vintner),Star Trading Estate,Ponthir Road,Caerroen,Newport,NP18 1PQ,Wales,Wholesaler,29/05/2022 16:07,1450.00, 290.00 
146,TRADER,Chester Grosvenor Hotel,Eastgate Street,Chester,,,CH1 1LT,North West inc Manchester,Restaurant/Hotel,28/05/2022 16:07,1460.00, 292.00 
